1	831376
2	144043
3	4872808
4	32432
5	59310
6	8609958
7	7037
8	53693
9	6737582
10	265392
11	1053424
12	20291
13	5942344
14	148045
15	9295
16	7436
17	297198
18	668617
19	5728
20	45566
21	566133
22	209235
23	2057894
24	90841
25	3578063
26	18076
27	330826
28	282
29	481
30	23650
31	48
32	7223
33	812
34	2911303
35	9047
36	5224
37	1149794
38	112425
39	20440
40	134022
41	9168
42	79552
43	101015
44	678713
45	32487
46	7742
47	15049
48	622176
49	84031
50	1051203
51	412641
52	43701
53	291057
54	66664
55	108263
56	61400
57	38594
58	48426
59	69181
60	919
61	7384
62	11913
63	8282
64	92611
65	71017
66	36662
67	32801
68	37591
69	1583
70	1953766
71	27690
72	120737
73	413994
74	30155
75	13406
76	16959
77	512
78	292532
79	391
80	29010
81	121462
82	40638
83	469793
84	692649
85	8875
86	11850
87	313701
88	1652904
89	569733
90	3830498
91	4
92	37155
93	136771
94	137260
95	40298
96	172252
97	336530
98	18064
99	74262
100	359
101	7
102	212249
103	98118
104	94692
105	45
106	16917
107	100272
108	105037
109	607
110	1929
111	25161
112	111875
113	15062
114	9884
115	39786
116	63381
117	18136
118	65
119	33256
120	589979
121	18896
122	14541
123	475167
124	114029
125	137143
126	16293
127	80598
128	3075
129	68118
130	73027
131	74
132	14278
133	53240
134	8226
135	7375
136	55892
137	13
138	1729
139	649
140	122755
141	134
142	19
143	3812
144	39770
145	11816
146	2548
147	8582
148	5463
149	252337
150	1249
151	162658
152	50
153	196199
154	5819
155	2311
156	1063043
157	655876
158	228
159	62149
160	101409
161	2422985
162	3553
163	721072
164	4
165	23095
166	27723
167	62
168	148966
169	52
170	1941
171	509
172	1074
173	1207330
174	151962
175	89289
176	377538
177	916783
178	94183
179	245767
180	188034
181	129225
182	89935
183	2156
184	980
185	66390
186	341491
187	212486
188	50261
189	99090
190	16
191	443778
192	44528
193	541
194	279208
195	3212
196	1961037
197	8505
198	8633
199	148962
200	10775
201	662069
202	14583
203	79453
204	1967
205	396540
206	153779
207	1960
208	775383
209	1
210	221551
211	23070
212	48911
213	25899
214	121815
215	114815
216	16167
217	442120
218	216
219	239240
220	174503
221	65586
222	118458
223	50728
224	9676
225	1
226	267255
227	273639
228	70259
229	65741
230	310843
231	38455
232	332206
233	7429
234	16749
235	286114
236	2548
237	19
238	323072
239	59141
240	290998
241	13486
242	1450
243	624708
244	423433
245	17489
246	332062
247	2107
248	1137200
249	20606
250	744112
251	4643
252	26
253	253930
254	375804
255	488548
256	7642
257	10470
258	92234
259	390567
260	277918
261	74390
262	1237
263	57998
264	180365
265	51217
266	420360
267	411105
268	65330
269	136602
270	34677
271	1157784
272	84982
273	25909
274	80673
275	386800
276	15826
277	129334
278	14925
279	5402
280	50068
281	1964
282	202968
283	244380
284	214556
285	1164498
286	194457
287	95052
288	32590
289	13679
290	27819
291	95700
292	47148
293	37132
294	32651
295	178965
296	52304
297	23859
298	77271
299	287548
300	225446
301	70079
302	217617
303	26965
304	61489
305	187355
306	104866
307	3258
308	141615
309	48858
310	377165
311	465930
312	31425
313	108802
314	28006
315	25598
316	62965
317	14
318	131
319	36
320	163117
321	177172
322	164993
323	743015
324	18550
325	70
326	3258
327	3
328	1
329	79293
330	1
331	229144
332	3
333	114914
334	10009
335	1
336	80315
337	129840
338	18852
339	609
340	187248
341	6
342	31758
343	14359
344	8628
345	69019
346	96963
347	18776
348	165100
349	56
350	1683044
351	36072
352	18830
353	103
354	4411
355	27153
356	1733
357	82
358	805
359	100
360	33125
361	8667
362	5570
363	2945
364	32920
365	28921
366	236864
367	198047
368	18816
369	9616
370	2290
371	249969
372	113387
373	5849
374	35
375	22421
376	39215
377	523101
378	27830
379	23610
380	230367
381	267081
382	94939
383	2382
384	83197
385	85100
386	23512
387	13831
388	69831
389	9288
390	43810
391	245
392	3106
393	12951
394	54509
395	60462
396	8634
397	9127
398	6540
399	19717
400	5837
401	43772
402	107248
403	258678
404	10071
405	262369
406	390652
407	102167
408	121671
409	10431
410	12510
411	9598
412	4514
413	56815
414	7438
415	15875
416	381556
417	104362
418	202598
419	86632
420	77500
421	24864
422	27256
423	473
424	5862
425	12792
426	18204
427	185809
428	85110
429	3318
430	144757
431	4427
432	49367
433	3631
434	89
435	32642
436	7003
437	13613
438	10717
439	21899
440	8903
441	583
442	2311
443	5758
444	4721
445	54722
446	20509
447	4010
448	342870
449	283910
450	12338
451	17846
452	5734
453	1999
454	74269
455	22245
456	220742
457	71867
458	24614
459	34838
460	594303
461	401
462	330
463	2221
464	17767
465	13
466	9891
467	1227
468	327
469	4692
470	37840
471	994
472	1
473	19163
474	25629
475	2277
476	76
477	6010
478	13413
479	6744
480	112249
481	201868
482	40421
483	339
484	250861
485	92723
486	3261
487	30311
488	307
489	59269
490	27116
491	2589
492	82089
493	27810
494	18678
495	93977
496	5006
497	7615
498	178950
499	6
500	1
501	54
502	848707
503	94220
504	3121
505	222511
506	665
507	206
508	5810
509	342
510	158641
511	128670
512	23
513	44408
514	146
515	53857
516	1053
517	21984
518	30047
519	10724
520	78042
521	31609
522	637
523	223345
524	273
525	435606
526	608524
527	5744
528	1614051
529	55490
530	58188
531	36165
532	109168
533	26184
534	75258
535	7790
536	447418
537	32081
538	79847
539	19730
540	4420
541	21634
542	7552
543	20555
544	233
545	5030
546	12225
547	24507
548	89357
549	590
550	2885
551	1962
552	157994
553	66247
554	24
555	2111
556	6829
557	1
558	29525
559	70174
560	68287
561	71355
562	1261
563	1973
564	5114
565	31
566	11229
567	115082
568	3
569	22879
570	178305
571	56537
572	144
573	17881
574	200
575	55371
576	10285
577	3249
578	2490
579	25426
580	46918
581	51629
582	1361
583	16386
584	13346
585	112463
586	106
587	229392
588	547
589	56429
590	1
591	1133
592	9093
593	1867
594	26462
595	114955
596	52182
597	206737
598	475740
599	34970
600	39572
601	386
602	68524
603	16341
604	25293
605	116038
606	1212
607	1534
608	11140
609	67141
610	10986
611	189003
612	13685
613	22561
614	345930
615	900
616	65
617	991
618	95722
619	30
620	5421
621	130
622	63085
623	18962
624	15805
625	14981
626	3289
627	8798
628	968
629	10442
630	18035
631	39
632	14113
633	7233
634	12099
635	218822
636	40118
637	49143
638	2
639	341
640	1959
641	10
642	120874
643	78164
644	11
645	6
646	1587
647	41332
648	2145
649	3720
650	6517
651	587364
652	19
653	211940
654	1287
655	20
656	20061
657	52535
658	21931
659	4093
660	27220
661	514
662	46627
663	1286
664	5
665	27
666	267
667	4
668	63470
669	601
670	3480
671	405
672	6
673	3776
674	13634
675	4
676	166655
677	8407
678	5414
679	4381
680	9944
681	241
682	940
683	165953
684	93892
685	21416
686	1675
687	25
688	328
689	66941
690	1509
691	19881
692	162798
693	1579
694	83457
695	8506
696	13328
697	72759
698	16091
699	4537
700	26407
701	143190
702	13006
703	46158
704	112807
705	74101
706	7682
707	12322
708	2
709	103196
710	104517
711	67162
712	471
713	244
714	74612
715	21002
716	9203
717	43112
718	3948
719	155074
720	123901
721	50009
722	76826
723	21835
724	871
725	8939
726	7920
727	14
728	1
729	1727
730	12429
731	150370
732	33399
733	31135
734	36995
735	14988
736	103544
737	1150
738	12550
739	25091
740	21320
741	54410
742	136110
743	130452
744	850
745	30022
746	31564
747	57326
748	9838
749	4941
750	2165
751	63
752	4154
753	71914
754	1239
755	27937
756	15197
757	55
758	32981
759	13261
760	9250
761	38
762	61608
